Country,Month,Total Passengers,Year
New Zealand,01 August 2012,51234,2012
Dominican Republic,01 August 2012,480470,2012
Brazil,01 August 2012,363168,2012
Aruba,01 August 2012,102610,2012
Russia,01 August 2012,87344,2012
Spain,01 August 2012,320043,2012
Canada,01 August 2012,2273153,2012
Taiwan,01 August 2012,175479,2012
Cayman Islands,01 August 2012,60033,2012
Netherlands,01 August 2012,476193,2012
Hong Kong,01 August 2012,227588,2012
Colombia,01 August 2012,233565,2012
United Kingdom,01 August 2012,1680409,2012
Costa Rica,01 August 2012,184301,2012
Israel,01 August 2012,136542,2012
Turkey,01 August 2012,120819,2012
Argentina,01 August 2012,103323,2012
Antilles,01 August 2012,83666,2012
Jamaica,01 August 2012,315511,2012
Bahamas,01 August 2012,280820,2012
Panama,01 August 2012,186366,2012
Philippines,01 August 2012,62873,2012
Iceland,01 August 2012,83954,2012
Germany,01 August 2012,1032399,2012
Guatemala,01 August 2012,94769,2012
France,01 August 2012,666896,2012
Trinidad and Tobago,01 August 2012,102729,2012
Atlantic Ocean,01 August 2012,78638,2012
Trinidad and Tobago,01 July 2012,93708,2012
Ecuador,01 July 2012,84952,2012
Germany,01 July 2012,1042455,2012
Costa Rica,01 July 2012,226602,2012
Iceland,01 July 2012,83331,2012
Jamaica,01 July 2012,352748,2012
Italy,01 July 2012,341362,2012
Chile,01 July 2012,62953,2012
Cayman Islands,01 July 2012,73569,2012
China,01 July 2012,355921,2012
Atlantic Ocean,01 July 2012,72028,2012
Antilles,01 July 2012,95871,2012
El Salvador,01 July 2012,145423,2012
Hong Kong,01 July 2012,218705,2012
Japan,01 July 2012,1018836,2012
Turkey,01 July 2012,123528,2012
Netherlands,01 July 2012,467724,2012
Spain,01 July 2012,333408,2012
Canada,01 July 2012,2137096,2012
Haiti,01 July 2012,118252,2012
Denmark,01 July 2012,63630,2012
Panama,01 July 2012,196752,2012
Australia,01 July 2012,221230,2012
France,01 July 2012,683400,2012
Aruba,01 July 2012,108293,2012
United Kingdom,01 July 2012,1645851,2012
South Korea,01 July 2012,425897,2012
Venezuela,01 July 2012,121017,2012
Israel,01 July 2012,132246,2012
Peru,01 July 2012,133867,2012
Mexico,01 July 2012,1842339,2012
Ireland,01 July 2012,202092,2012
Guatemala,01 July 2012,113060,2012
Argentina,01 July 2012,104555,2012
Russia,01 July 2012,87471,2012
United Arab Emirates,01 July 2012,216988,2012
Belgium,01 July 2012,120345,2012
Taiwan,01 July 2012,168776,2012
Dominican Republic,01 July 2012,540314,2012
Honduras,01 July 2012,97964,2012
New Zealand,01 July 2012,57599,2012
Brazil,01 July 2012,380410,2012
Colombia,01 July 2012,249511,2012
Switzerland,01 July 2012,208657,2012
Bahamas,01 July 2012,295149,2012
Philippines,01 July 2012,76420,2012
Turkey,01 June 2012,110597,2012
China,01 June 2012,345546,2012
Netherlands,01 June 2012,448675,2012
New Zealand,01 June 2012,52075,2012
Dominican Republic,01 June 2012,452404,2012
Colombia,01 June 2012,227163,2012
El Salvador,01 June 2012,127213,2012
Argentina,01 June 2012,95774,2012
Spain,01 June 2012,308488,2012
South Korea,01 June 2012,405169,2012
Antilles,01 June 2012,83683,2012
Brazil,01 June 2012,340473,2012
Germany,01 June 2012,995886,2012
Philippines,01 June 2012,74514,2012
Mexico,01 June 2012,1556540,2012
Cayman Islands,01 June 2012,65398,2012
Jamaica,01 June 2012,291633,2012
Israel,01 June 2012,135328,2012
Ecuador,01 June 2012,74984,2012
Denmark,01 June 2012,61557,2012
Switzerland,01 June 2012,196060,2012
Russia,01 June 2012,84890,2012
Ireland,01 June 2012,192148,2012
Venezuela,01 June 2012,92686,2012
United Kingdom,01 June 2012,1647833,2012
Taiwan,01 June 2012,162342,2012
Belgium,01 June 2012,117076,2012
Australia,01 June 2012,214291,2012
Iceland,01 June 2012,78367,2012
United Arab Emirates,01 June 2012,212708,2012
Atlantic Ocean,01 June 2012,63082,2012
Chile,01 June 2012,56353,2012
Trinidad and Tobago,01 June 2012,67256,2012
Guatemala,01 June 2012,98664,2012
Aruba,01 June 2012,92795,2012
Italy,01 June 2012,312987,2012
Panama,01 June 2012,170279,2012
France,01 June 2012,652964,2012
Canada,01 June 2012,1921635,2012
Peru,01 June 2012,124282,2012
Hong Kong,01 June 2012,221515,2012
Haiti,01 June 2012,91100,2012
Bahamas,01 June 2012,262119,2012
Costa Rica,01 June 2012,196796,2012
Honduras,01 June 2012,83902,2012
Japan,01 June 2012,985130,2012
Australia,01 May 2012,202124,2012
China,01 May 2012,334946,2012
Trinidad and Tobago,01 May 2012,63177,2012
New Zealand,01 May 2012,46521,2012
Netherlands,01 May 2012,404662,2012
Iceland,01 May 2012,45817,2012
Aruba,01 May 2012,91586,2012
Canada,01 May 2012,1904339,2012
Denmark,01 May 2012,50328,2012
Israel,01 May 2012,120241,2012
Argentina,01 May 2012,106559,2012
Belgium,01 May 2012,101606,2012
Philippines,01 May 2012,78496,2012
Spain,01 May 2012,271896,2012
United Arab Emirates,01 May 2012,203798,2012
Panama,01 May 2012,151452,2012
Haiti,01 May 2012,78406,2012
United Kingdom,01 May 2012,1518373,2012
Jamaica,01 May 2012,260906,2012
Germany,01 May 2012,925614,2012
Japan,01 May 2012,901441,2012
Hong Kong,01 May 2012,228040,2012
Taiwan,01 May 2012,149498,2012
France,01 May 2012,557842,2012
Turkey,01 May 2012,90404,2012
Venezuela,01 May 2012,89422,2012
Bahamas,01 May 2012,222953,2012
Cayman Islands,01 May 2012,56883,2012
Peru,01 May 2012,126135,2012
Colombia,01 May 2012,191895,2012
Mexico,01 May 2012,1439773,2012
Switzerland,01 May 2012,180400,2012
Costa Rica,01 May 2012,158370,2012
El Salvador,01 May 2012,108446,2012
Brazil,01 May 2012,346834,2012
Atlantic Ocean,01 May 2012,56417,2012
Honduras,01 May 2012,55166,2012
South Korea,01 May 2012,387331,2012
Guatemala,01 May 2012,75433,2012
Ireland,01 May 2012,169673,2012
Antilles,01 May 2012,82988,2012
Ecuador,01 May 2012,74424,2012
Italy,01 May 2012,255458,2012
Dominican Republic,01 May 2012,379945,2012
Chile,01 May 2012,59075,2012
Russia,01 May 2012,60220,2012
Bahamas,01 April 2012,253787,2012
France,01 April 2012,521586,2012
Turkey,01 April 2012,80812,2012
Honduras,01 April 2012,59409,2012
United Arab Emirates,01 April 2012,179744,2012
Italy,01 April 2012,188946,2012
Brazil,01 April 2012,340005,2012
United Kingdom,01 April 2012,1398511,2012
Costa Rica,01 April 2012,199338,2012
Iceland,01 April 2012,35774,2012
Dominican Republic,01 April 2012,415865,2012
Hong Kong,01 April 2012,208776,2012
Jamaica,01 April 2012,274515,2012
Colombia,01 April 2012,179962,2012
Panama,01 April 2012,154582,2012
Mexico,01 April 2012,1599445,2012
Taiwan,01 April 2012,129814,2012
Peru,01 April 2012,117197,2012
Denmark,01 April 2012,44115,2012
Germany,01 April 2012,790941,2012
Philippines,01 April 2012,76587,2012
South Korea,01 April 2012,343841,2012
Belgium,01 April 2012,98385,2012
Ecuador,01 April 2012,74321,2012
Venezuela,01 April 2012,98200,2012
Cayman Islands,01 April 2012,70399,2012
Chile,01 April 2012,57764,2012
China,01 April 2012,307900,2012
Haiti,01 April 2012,82625,2012
New Zealand,01 April 2012,54117,2012
Canada,01 April 2012,2048689,2012
Aruba,01 April 2012,108507,2012
El Salvador,01 April 2012,110713,2012
Switzerland,01 April 2012,160700,2012
Ireland,01 April 2012,138734,2012
Netherlands,01 April 2012,359608,2012
Antilles,01 April 2012,98516,2012
Spain,01 April 2012,249890,2012
Guatemala,01 April 2012,85314,2012
Israel,01 April 2012,112873,2012
Australia,01 April 2012,197541,2012
Trinidad and Tobago,01 April 2012,70717,2012
Atlantic Ocean,01 April 2012,47716,2012
Japan,01 April 2012,797197,2012
Russia,01 April 2012,54492,2012
Argentina,01 April 2012,103827,2012
Chile,01 March 2012,67695,2012
Russia,01 March 2012,55234,2012
China,01 March 2012,290059,2012
Aruba,01 March 2012,114929,2012
Panama,01 March 2012,169069,2012
Ecuador,01 March 2012,82766,2012
Venezuela,01 March 2012,87877,2012
United Kingdom,01 March 2012,1296099,2012
Germany,01 March 2012,733437,2012
Dominican Republic,01 March 2012,452282,2012
Italy,01 March 2012,132381,2012
Iceland,01 March 2012,31982,2012
Antilles,01 March 2012,113278,2012
Bahamas,01 March 2012,258613,2012
Spain,01 March 2012,203777,2012
New Zealand,01 March 2012,57792,2012
Brazil,01 March 2012,352151,2012
Turkey,01 March 2012,69375,2012
Cayman Islands,01 March 2012,76105,2012
Switzerland,01 March 2012,151911,2012
South Korea,01 March 2012,319824,2012
Guatemala,01 March 2012,91628,2012
Argentina,01 March 2012,113525,2012
Costa Rica,01 March 2012,259082,2012
Colombia,01 March 2012,185321,2012
Canada,01 March 2012,2236084,2012
El Salvador,01 March 2012,122674,2012
Mexico,01 March 2012,1845377,2012
Peru,01 March 2012,124262,2012
Netherlands,01 March 2012,329014,2012
Philippines,01 March 2012,70835,2012
Hong Kong,01 March 2012,204786,2012
Trinidad and Tobago,01 March 2012,60572,2012
Haiti,01 March 2012,90847,2012
Honduras,01 March 2012,70984,2012
France,01 March 2012,469151,2012
Ireland,01 March 2012,123074,2012
Jamaica,01 March 2012,270969,2012
United Arab Emirates,01 March 2012,195954,2012
Israel,01 March 2012,118115,2012
Denmark,01 March 2012,40294,2012
Taiwan,01 March 2012,139807,2012
Australia,01 March 2012,195670,2012
Atlantic Ocean,01 March 2012,35775,2012
Belgium,01 March 2012,90705,2012
Japan,01 March 2012,967367,2012
Germany,01 February 2012,516779,2012
Netherlands,01 February 2012,254371,2012
Peru,01 February 2012,109259,2012
Jamaica,01 February 2012,217468,2012
El Salvador,01 February 2012,102451,2012
Canada,01 February 2012,1910715,2012
Colombia,01 February 2012,157143,2012
Brazil,01 February 2012,334105,2012
United Arab Emirates,01 February 2012,162774,2012
Antilles,01 February 2012,100115,2012
Australia,01 February 2012,172580,2012
Belgium,01 February 2012,69675,2012
Trinidad and Tobago,01 February 2012,67894,2012
New Zealand,01 February 2012,57185,2012
Israel,01 February 2012,98727,2012
Costa Rica,01 February 2012,222908,2012
Bahamas,01 February 2012,183500,2012
Denmark,01 February 2012,28397,2012
Iceland,01 February 2012,23496,2012
Aruba,01 February 2012,98920,2012
Honduras,01 February 2012,53894,2012
United Kingdom,01 February 2012,940983,2012
Guatemala,01 February 2012,70490,2012
Japan,01 February 2012,839415,2012
Turkey,01 February 2012,51602,2012
Ireland,01 February 2012,83302,2012
Russia,01 February 2012,41727,2012
Chile,01 February 2012,69849,2012
Cayman Islands,01 February 2012,61419,2012
Atlantic Ocean,01 February 2012,27904,2012
Dominican Republic,01 February 2012,366036,2012
Venezuela,01 February 2012,75450,2012
Haiti,01 February 2012,73527,2012
Hong Kong,01 February 2012,164697,2012
France,01 February 2012,322341,2012
South Korea,01 February 2012,317075,2012
Taiwan,01 February 2012,122396,2012
Switzerland,01 February 2012,115181,2012
Ecuador,01 February 2012,73665,2012
China,01 February 2012,241819,2012
Panama,01 February 2012,162855,2012
Spain,01 February 2012,124863,2012
Italy,01 February 2012,91675,2012
Argentina,01 February 2012,107128,2012
Mexico,01 February 2012,1493711,2012
Philippines,01 February 2012,64043,2012
Guatemala,01 January 2012,91477,2012
Netherlands,01 January 2012,292443,2012
Aruba,01 January 2012,101101,2012
Dominican Republic,01 January 2012,393206,2012
Atlantic Ocean,01 January 2012,27475,2012
Mexico,01 January 2012,1665856,2012
Colombia,01 January 2012,206436,2012
Argentina,01 January 2012,110952,2012
Trinidad and Tobago,01 January 2012,70845,2012
Brazil,01 January 2012,410842,2012
El Salvador,01 January 2012,129757,2012
Spain,01 January 2012,147349,2012
Japan,01 January 2012,914583,2012
Russia,01 January 2012,55101,2012
Israel,01 January 2012,116078,2012
Ireland,01 January 2012,88107,2012
United Kingdom,01 January 2012,1092853,2012
Costa Rica,01 January 2012,249377,2012
Peru,01 January 2012,116319,2012
Haiti,01 January 2012,82539,2012
Ecuador,01 January 2012,84475,2012
New Zealand,01 January 2012,67082,2012
Antilles,01 January 2012,100250,2012
Cayman Islands,01 January 2012,59597,2012
Switzerland,01 January 2012,127928,2012
Philippines,01 January 2012,77581,2012
France,01 January 2012,400533,2012
China,01 January 2012,297040,2012
Iceland,01 January 2012,25223,2012
Australia,01 January 2012,214928,2012
Bahamas,01 January 2012,171986,2012
Jamaica,01 January 2012,233830,2012
Hong Kong,01 January 2012,195624,2012
Honduras,01 January 2012,68958,2012
Venezuela,01 January 2012,108847,2012
United Arab Emirates,01 January 2012,190818,2012
Italy,01 January 2012,115633,2012
Chile,01 January 2012,79485,2012
Germany,01 January 2012,628035,2012
South Korea,01 January 2012,386652,2012
Denmark,01 January 2012,32933,2012
Belgium,01 January 2012,79128,2012
Panama,01 January 2012,175846,2012
Taiwan,01 January 2012,173733,2012
Turkey,01 January 2012,67317,2012
Canada,01 January 2012,1879261,2012
El Salvador,01 December 2011,129411,2011
Antilles,01 December 2011,97599,2011
Japan,01 December 2011,846609,2011
New Zealand,01 December 2011,71919,2011
Denmark,01 December 2011,34861,2011
Mexico,01 December 2011,1774143,2011
Costa Rica,01 December 2011,219298,2011
South Korea,01 December 2011,359478,2011
Belgium,01 December 2011,87097,2011
Canada,01 December 2011,1853255,2011
United Arab Emirates,01 December 2011,190649,2011
Bahamas,01 December 2011,207104,2011
Haiti,01 December 2011,83867,2011
Israel,01 December 2011,105613,2011
Spain,01 December 2011,187173,2011
China,01 December 2011,285222,2011
Chile,01 December 2011,67768,2011
Cayman Islands,01 December 2011,63973,2011
Panama,01 December 2011,164356,2011
Guatemala,01 December 2011,100910,2011
Atlantic Ocean,01 December 2011,37075,2011
Netherlands,01 December 2011,316301,2011
Honduras,01 December 2011,70208,2011
Russia,01 December 2011,54880,2011
Brazil,01 December 2011,364270,2011
Philippines,01 December 2011,68770,2011
Hong Kong,01 December 2011,201309,2011
Ecuador,01 December 2011,86048,2011
United Kingdom,01 December 2011,1254808,2011
Trinidad and Tobago,01 December 2011,81793,2011
Australia,01 December 2011,204134,2011
France,01 December 2011,446739,2011
Peru,01 December 2011,113621,2011
Italy,01 December 2011,133219,2011
Taiwan,01 December 2011,149497,2011
Switzerland,01 December 2011,148904,2011
Turkey,01 December 2011,69081,2011
Germany,01 December 2011,694010,2011
Jamaica,01 December 2011,252547,2011
Argentina,01 December 2011,103311,2011
Aruba,01 December 2011,98369,2011
Colombia,01 December 2011,218662,2011
Ireland,01 December 2011,110678,2011
Iceland,01 December 2011,30684,2011
Venezuela,01 December 2011,129801,2011
Dominican Republic,01 December 2011,375409,2011
Haiti,01 November 2011,67395,2011
Australia,01 November 2011,182450,2011
Colombia,01 November 2011,173386,2011
Israel,01 November 2011,109564,2011
Trinidad and Tobago,01 November 2011,65152,2011
Aruba,01 November 2011,88830,2011
Bahamas,01 November 2011,180638,2011
China,01 November 2011,260257,2011
New Zealand,01 November 2011,49362,2011
Spain,01 November 2011,178523,2011
United Arab Emirates,01 November 2011,160227,2011
Jamaica,01 November 2011,213839,2011
Ireland,01 November 2011,123505,2011
Panama,01 November 2011,136081,2011
Honduras,01 November 2011,50256,2011
Costa Rica,01 November 2011,157940,2011
Cayman Islands,01 November 2011,52927,2011
Canada,01 November 2011,1735281,2011
Russia,01 November 2011,51113,2011
Switzerland,01 November 2011,133968,2011
France,01 November 2011,417395,2011
Ecuador,01 November 2011,84617,2011
Japan,01 November 2011,805581,2011
Antilles,01 November 2011,81835,2011
Denmark,01 November 2011,35443,2011
Italy,01 November 2011,152425,2011
Iceland,01 November 2011,34883,2011
Hong Kong,01 November 2011,193107,2011
Belgium,01 November 2011,78948,2011
Germany,01 November 2011,664038,2011
Guatemala,01 November 2011,90485,2011
Argentina,01 November 2011,101851,2011
Taiwan,01 November 2011,131903,2011
Mexico,01 November 2011,1414403,2011
Philippines,01 November 2011,63682,2011
United Kingdom,01 November 2011,1179944,2011
Atlantic Ocean,01 November 2011,41844,2011
Peru,01 November 2011,102902,2011
South Korea,01 November 2011,328937,2011
Netherlands,01 November 2011,304868,2011
El Salvador,01 November 2011,112648,2011
Brazil,01 November 2011,329616,2011
Venezuela,01 November 2011,112354,2011
Turkey,01 November 2011,64326,2011
Dominican Republic,01 November 2011,306493,2011
Chile,01 November 2011,54954,2011
Turkey,01 October 2011,79563,2011
Antilles,01 October 2011,63453,2011
Colombia,01 October 2011,173409,2011
Switzerland,01 October 2011,172358,2011
South Korea,01 October 2011,347399,2011
United Arab Emirates,01 October 2011,144192,2011
Canada,01 October 2011,1837263,2011
Denmark,01 October 2011,47176,2011
Panama,01 October 2011,130110,2011
Jamaica,01 October 2011,184874,2011
Netherlands,01 October 2011,413949,2011
Venezuela,01 October 2011,105437,2011
Chile,01 October 2011,54863,2011
El Salvador,01 October 2011,98443,2011
Bahamas,01 October 2011,147613,2011
Australia,01 October 2011,196058,2011
Ecuador,01 October 2011,80579,2011
Ireland,01 October 2011,147880,2011
China,01 October 2011,310239,2011
Trinidad and Tobago,01 October 2011,62751,2011
Italy,01 October 2011,255219,2011
New Zealand,01 October 2011,56001,2011
Belgium,01 October 2011,100598,2011
Philippines,01 October 2011,58484,2011
Japan,01 October 2011,857352,2011
Argentina,01 October 2011,107877,2011
Dominican Republic,01 October 2011,289031,2011
Taiwan,01 October 2011,131744,2011
United Kingdom,01 October 2011,1479795,2011
Atlantic Ocean,01 October 2011,49029,2011
Spain,01 October 2011,264894,2011
France,01 October 2011,566672,2011
Iceland,01 October 2011,42288,2011
Haiti,01 October 2011,68248,2011
Brazil,01 October 2011,352092,2011
Guatemala,01 October 2011,69580,2011
Costa Rica,01 October 2011,113765,2011
Hong Kong,01 October 2011,202000,2011
Russia,01 October 2011,57493,2011
Honduras,01 October 2011,46688,2011
Israel,01 October 2011,117328,2011
Peru,01 October 2011,111109,2011
Mexico,01 October 2011,1265195,2011
Germany,01 October 2011,867256,2011
Cayman Islands,01 October 2011,38152,2011
Aruba,01 October 2011,86380,2011
Israel,01 September 2011,108561,2011
Guatemala,01 September 2011,62334,2011
Antilles,01 September 2011,49447,2011
United Kingdom,01 September 2011,1527302,2011
Costa Rica,01 September 2011,107766,2011
United Arab Emirates,01 September 2011,146621,2011
South Korea,01 September 2011,326141,2011
Dominican Republic,01 September 2011,298366,2011
Cayman Islands,01 September 2011,28805,2011
Ecuador,01 September 2011,83615,2011
Peru,01 September 2011,109256,2011
Hong Kong,01 September 2011,186278,2011
Philippines,01 September 2011,52242,2011
Bahamas,01 September 2011,122882,2011
Denmark,01 September 2011,50459,2011
Aruba,01 September 2011,73283,2011
Argentina,01 September 2011,108424,2011
Taiwan,01 September 2011,129042,2011
Canada,01 September 2011,1782637,2011
China,01 September 2011,310151,2011
Haiti,01 September 2011,70680,2011
Jamaica,01 September 2011,175763,2011
Colombia,01 September 2011,171320,2011
Brazil,01 September 2011,336631,2011
Venezuela,01 September 2011,115534,2011
Germany,01 September 2011,907190,2011
Australia,01 September 2011,208525,2011
Chile,01 September 2011,53377,2011
Netherlands,01 September 2011,430948,2011
Japan,01 September 2011,901406,2011
Spain,01 September 2011,282273,2011
Panama,01 September 2011,128696,2011
Iceland,01 September 2011,46509,2011
Ireland,01 September 2011,182432,2011
France,01 September 2011,616882,2011
Belgium,01 September 2011,107964,2011
Atlantic Ocean,01 September 2011,46971,2011
Russia,01 September 2011,60766,2011
New Zealand,01 September 2011,67548,2011
Turkey,01 September 2011,78115,2011
Switzerland,01 September 2011,175565,2011
Italy,01 September 2011,283767,2011
Mexico,01 September 2011,1100312,2011
Trinidad and Tobago,01 September 2011,69687,2011
El Salvador,01 September 2011,99041,2011
Honduras,01 September 2011,51012,2011
Colombia,01 August 2011,211681,2011
Netherlands,01 August 2011,463786,2011
France,01 August 2011,665474,2011
Brazil,01 August 2011,330286,2011
Costa Rica,01 August 2011,171510,2011
Australia,01 August 2011,190206,2011
South Korea,01 August 2011,420438,2011
Cayman Islands,01 August 2011,58857,2011
Jamaica,01 August 2011,291569,2011
Mexico,01 August 2011,1549463,2011
Chile,01 August 2011,50308,2011
Philippines,01 August 2011,64258,2011
Bahamas,01 August 2011,218616,2011
Antilles,01 August 2011,69728,2011
Spain,01 August 2011,340296,2011
Ecuador,01 August 2011,104329,2011
Switzerland,01 August 2011,190202,2011
Venezuela,01 August 2011,116470,2011
Honduras,01 August 2011,76381,2011
Ireland,01 August 2011,199076,2011
Dominican Republic,01 August 2011,442391,2011
Japan,01 August 2011,1019826,2011
Guatemala,01 August 2011,96597,2011
Germany,01 August 2011,978724,2011
Italy,01 August 2011,319974,2011
Canada,01 August 2011,2116607,2011
United Arab Emirates,01 August 2011,176227,2011
China,01 August 2011,335300,2011
Belgium,01 August 2011,107391,2011
Turkey,01 August 2011,75018,2011
New Zealand,01 August 2011,50327,2011
El Salvador,01 August 2011,147361,2011
Atlantic Ocean,01 August 2011,74858,2011
Haiti,01 August 2011,95446,2011
United Kingdom,01 August 2011,1655568,2011
Argentina,01 August 2011,90640,2011
Russia,01 August 2011,77546,2011
Iceland,01 August 2011,72296,2011
Israel,01 August 2011,140793,2011
Peru,01 August 2011,122626,2011
Hong Kong,01 August 2011,198666,2011
Taiwan,01 August 2011,167162,2011
Trinidad and Tobago,01 August 2011,100474,2011
Panama,01 August 2011,148561,2011
Aruba,01 August 2011,99532,2011
Denmark,01 August 2011,67658,2011
Trinidad and Tobago,01 July 2011,100242,2011
Italy,01 July 2011,336596,2011
El Salvador,01 July 2011,161788,2011
Costa Rica,01 July 2011,218652,2011
Taiwan,01 July 2011,162741,2011
Antilles,01 July 2011,98893,2011
Germany,01 July 2011,1013278,2011
Belgium,01 July 2011,113569,2011
Mexico,01 July 2011,1813769,2011
Netherlands,01 July 2011,470695,2011
Philippines,01 July 2011,73406,2011
Switzerland,01 July 2011,197867,2011
Colombia,01 July 2011,228195,2011
Aruba,01 July 2011,112900,2011
Denmark,01 July 2011,73906,2011
Chile,01 July 2011,60831,2011
Argentina,01 July 2011,99471,2011
Ecuador,01 July 2011,106785,2011
China,01 July 2011,326273,2011
Russia,01 July 2011,79397,2011
United Arab Emirates,01 July 2011,184161,2011
Bahamas,01 July 2011,278938,2011
Canada,01 July 2011,2095438,2011
South Korea,01 July 2011,400749,2011
Japan,01 July 2011,925062,2011
United Kingdom,01 July 2011,1684995,2011
Guatemala,01 July 2011,112520,2011
Panama,01 July 2011,167570,2011
Turkey,01 July 2011,81920,2011
New Zealand,01 July 2011,66203,2011
Hong Kong,01 July 2011,202768,2011
Ireland,01 July 2011,206758,2011
Peru,01 July 2011,131404,2011
Haiti,01 July 2011,112004,2011
Israel,01 July 2011,139060,2011
Australia,01 July 2011,213837,2011
France,01 July 2011,687333,2011
Cayman Islands,01 July 2011,68091,2011
Jamaica,01 July 2011,332008,2011
Honduras,01 July 2011,92444,2011
Spain,01 July 2011,356523,2011
Dominican Republic,01 July 2011,518007,2011
Iceland,01 July 2011,75108,2011
Venezuela,01 July 2011,98980,2011
Brazil,01 July 2011,362236,2011
Atlantic Ocean,01 July 2011,76498,2011
Israel,01 June 2011,141294,2011
Brazil,01 June 2011,312548,2011
United Kingdom,01 June 2011,1613669,2011
Bahamas,01 June 2011,229280,2011
Ireland,01 June 2011,192250,2011
Mexico,01 June 2011,1492001,2011
Costa Rica,01 June 2011,179887,2011
China,01 June 2011,310204,2011
Ecuador,01 June 2011,85456,2011
France,01 June 2011,636199,2011
Cayman Islands,01 June 2011,59624,2011
Netherlands,01 June 2011,447535,2011
Germany,01 June 2011,939835,2011
Hong Kong,01 June 2011,197729,2011
Denmark,01 June 2011,68173,2011
Honduras,01 June 2011,76838,2011
Chile,01 June 2011,51700,2011
Panama,01 June 2011,139177,2011
Switzerland,01 June 2011,183766,2011
Peru,01 June 2011,115439,2011
Guatemala,01 June 2011,97424,2011
Venezuela,01 June 2011,85108,2011
Iceland,01 June 2011,65208,2011
Turkey,01 June 2011,77557,2011
Colombia,01 June 2011,203381,2011
Antilles,01 June 2011,76362,2011
Atlantic Ocean,01 June 2011,65090,2011
Haiti,01 June 2011,87189,2011
Taiwan,01 June 2011,161558,2011
New Zealand,01 June 2011,56481,2011
South Korea,01 June 2011,367448,2011
Italy,01 June 2011,313403,2011
Dominican Republic,01 June 2011,414690,2011
Spain,01 June 2011,322184,2011
Belgium,01 June 2011,108223,2011
Philippines,01 June 2011,72885,2011
Argentina,01 June 2011,83139,2011
Aruba,01 June 2011,89967,2011
Russia,01 June 2011,78410,2011
Jamaica,01 June 2011,257107,2011
El Salvador,01 June 2011,127125,2011
Trinidad and Tobago,01 June 2011,70546,2011
Australia,01 June 2011,208486,2011
Canada,01 June 2011,1851492,2011
United Arab Emirates,01 June 2011,170279,2011
Japan,01 June 2011,833802,2011
Israel,01 May 2011,127035,2011
Denmark,01 May 2011,57826,2011
Haiti,01 May 2011,82018,2011
Bahamas,01 May 2011,201708,2011
Atlantic Ocean,01 May 2011,61529,2011
Guatemala,01 May 2011,77225,2011
Dominican Republic,01 May 2011,361540,2011
Ecuador,01 May 2011,80991,2011
Panama,01 May 2011,127127,2011
New Zealand,01 May 2011,50145,2011
Japan,01 May 2011,747226,2011
Belgium,01 May 2011,104754,2011
Iceland,01 May 2011,34774,2011
Argentina,01 May 2011,99585,2011
Costa Rica,01 May 2011,153550,2011
Australia,01 May 2011,196896,2011
Germany,01 May 2011,895351,2011
Antilles,01 May 2011,80173,2011
Colombia,01 May 2011,162945,2011
United Arab Emirates,01 May 2011,163822,2011
China,01 May 2011,298164,2011
Taiwan,01 May 2011,151995,2011
France,01 May 2011,574741,2011
Italy,01 May 2011,264144,2011
Jamaica,01 May 2011,240124,2011
Venezuela,01 May 2011,82906,2011
Hong Kong,01 May 2011,202034,2011
Turkey,01 May 2011,72507,2011
Peru,01 May 2011,116213,2011
Philippines,01 May 2011,80476,2011
Brazil,01 May 2011,319898,2011
Canada,01 May 2011,1895627,2011
Mexico,01 May 2011,1439076,2011
Spain,01 May 2011,289137,2011
Netherlands,01 May 2011,406313,2011
Ireland,01 May 2011,166551,2011
Russia,01 May 2011,68229,2011
Trinidad and Tobago,01 May 2011,69756,2011
Honduras,01 May 2011,56049,2011
South Korea,01 May 2011,355983,2011
Aruba,01 May 2011,94446,2011
El Salvador,01 May 2011,106860,2011
United Kingdom,01 May 2011,1523223,2011
Switzerland,01 May 2011,174825,2011
Chile,01 May 2011,51763,2011
Cayman Islands,01 May 2011,55782,2011
Philippines,01 April 2011,76527,2011
France,01 April 2011,518881,2011
Australia,01 April 2011,195495,2011
Ireland,01 April 2011,143803,2011
Aruba,01 April 2011,110660,2011
Canada,01 April 2011,1992845,2011
Iceland,01 April 2011,28626,2011
Jamaica,01 April 2011,246629,2011
Japan,01 April 2011,602279,2011
Turkey,01 April 2011,58017,2011
United Arab Emirates,01 April 2011,144042,2011
Panama,01 April 2011,129748,2011
Honduras,01 April 2011,60487,2011
Italy,01 April 2011,212356,2011
Hong Kong,01 April 2011,189101,2011
United Kingdom,01 April 2011,1450479,2011
Germany,01 April 2011,786616,2011
Colombia,01 April 2011,167990,2011
South Korea,01 April 2011,315719,2011
Peru,01 April 2011,105050,2011
Cayman Islands,01 April 2011,68740,2011
Haiti,01 April 2011,78102,2011
Netherlands,01 April 2011,374418,2011
China,01 April 2011,255222,2011
Antilles,01 April 2011,94592,2011
Trinidad and Tobago,01 April 2011,70361,2011
Ecuador,01 April 2011,82335,2011
Israel,01 April 2011,118236,2011
Taiwan,01 April 2011,136951,2011
Venezuela,01 April 2011,85025,2011
Denmark,01 April 2011,51674,2011
Brazil,01 April 2011,310510,2011
Costa Rica,01 April 2011,190736,2011
Chile,01 April 2011,50820,2011
Guatemala,01 April 2011,88097,2011
New Zealand,01 April 2011,52375,2011
Belgium,01 April 2011,98606,2011
